Name,Description,Aliases,Driver,Confidentiality,Endpoint,Properties,Website,Monitor,MonitorWebsite,Languages
ABS,Australian Bureau of Statistics,,RI_SDMX21,PUBLIC,https://api.data.abs.gov.au,sdmxdl.driver.detailSupported=true,https://explore.data.abs.gov.au,upptime:/nbbrd/sdmx-upptime/ABS,https://nbbrd.github.io/sdmx-upptime/history/abs,en
ASKDATA,Statistics Kosovo,,PX_PXWEB,PUBLIC,https://askdata.rks-gov.net/PXWeb/api/_VERSION_/_LANG_/,"sdmxdl.driver.versions=v1,sdmxdl.driver.languages=en",https://askdata.rks-gov.net/pxweb/en/,,,en
ASUB,Statistics Aland,,PX_PXWEB,PUBLIC,https://pxweb.asub.ax/PXWeb/api/_VERSION_/_LANG_/,"sdmxdl.driver.versions=v1,sdmxdl.driver.languages=""en,sv""",https://pxweb.asub.ax/PXWeb/pxweb/en/,,,en
BBK,Deutsche Bundesbank,,DIALECTS_BBK,PUBLIC,https://api.statistiken.bundesbank.de/rest,,https://www.bundesbank.de/en/statistics/time-series-databases,upptime:/nbbrd/sdmx-upptime/BBK,https://nbbrd.github.io/sdmx-upptime/history/bbk,"en,de"
BIS,Bank for International Settlements,,RI_SDMX21,PUBLIC,https://stats.bis.org/api/v1,sdmxdl.driver.detailSupported=true,https://stats.bis.org/statx/toc/LBS.html,upptime:/nbbrd/sdmx-upptime/BIS,https://nbbrd.github.io/sdmx-upptime/history/bis,en
CAMSTAT,National Institute of Statistics of Cambodia,,RI_SDMX21,PUBLIC,https://nsiws-stable-camstat-live.officialstatistics.org/rest,,http://camstat.nis.gov.kh/?locale=en&start=0,upptime:/nbbrd/sdmx-upptime/CAMSTAT,https://nbbrd.github.io/sdmx-upptime/history/camstat,"en,km"
CSB_LV,Latvia - official statistics,,PX_PXWEB,PUBLIC,https://data.stat.gov.lv/api/_VERSION_/_LANG_/,"sdmxdl.driver.versions=v1,sdmxdl.driver.languages=""en,lv""",https://data.stat.gov.lv/pxweb/en/,,,en
ECB,European Central Bank,,RI_SDMX21,PUBLIC,https://data-api.ecb.europa.eu/service,sdmxdl.driver.detailSupported=true,https://data.ecb.europa.eu/,upptime:/nbbrd/sdmx-upptime/ECB,https://nbbrd.github.io/sdmx-upptime/history/ecb,en
EC_DG_COMP,European Commission - Directorate General for Competition,,DIALECTS_ESTAT,PUBLIC,https://webgate.ec.europa.eu/comp/redisstat/api/dissemination/sdmx/2.1,,https://data.europa.eu/data/datasets?catalog=comp,upptime:/nbbrd/sdmx-upptime/EC_DG_COMP,https://nbbrd.github.io/sdmx-upptime/history/ec_dg_comp,en
EC_DG_EMPL,"European Commission - Directorate General for Employment, Social Affairs and inclusion",,DIALECTS_ESTAT,PUBLIC,https://webgate.ec.europa.eu/empl/redisstat/api/dissemination/sdmx/2.1,,https://data.europa.eu/data/datasets?catalog=empl,upptime:/nbbrd/sdmx-upptime/EC_DG_EMPL,https://nbbrd.github.io/sdmx-upptime/history/ec_dg_empl,en
EC_DG_GROW,"European Commission - Directorate General for Internal Market, Industry, Entrepreneurship and SMEs",,DIALECTS_ESTAT,PUBLIC,https://webgate.ec.europa.eu/grow/redisstat/api/dissemination/sdmx/2.1,,https://data.europa.eu/data/datasets?catalog=grow,upptime:/nbbrd/sdmx-upptime/EC_DG_GROW,https://nbbrd.github.io/sdmx-upptime/history/ec_dg_grow,en
ESCAP,Economic and Social Commission for Asia and the Pacific,,RI_SDMX21,PUBLIC,https://api-dataexplorer.unescap.org/rest,sdmxdl.driver.detailSupported=true,https://dataexplorer.unescap.org/,upptime:/nbbrd/sdmx-upptime/ESCAP,https://nbbrd.github.io/sdmx-upptime/history/escap,en
ESTAT,Eurostat,EUROSTAT,DIALECTS_ESTAT,PUBLIC,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,,https://ec.europa.eu/eurostat/data/database,upptime:/nbbrd/sdmx-upptime/ESTAT,https://nbbrd.github.io/sdmx-upptime/history/estat,"en,de,fr"
ESTAT_COMEXT,Eurostat - International trade in goods statistics (ITGS),,DIALECTS_ESTAT,PUBLIC,https://ec.europa.eu/eurostat/api/comext/dissemination/sdmx/2.1,,https://ec.europa.eu/eurostat/web/international-trade-in-goods/overview,upptime:/nbbrd/sdmx-upptime/ESTAT_COMEXT,https://nbbrd.github.io/sdmx-upptime/history/estat_comext,en
FOHM,The Public Health Agency of Sweden,,PX_PXWEB,PUBLIC,http://fohm-app.folkhalsomyndigheten.se/Folkhalsodata/api/_VERSION_/_LANG_,"sdmxdl.driver.versions=v1,sdmxdl.driver.languages=sv",http://fohm-app.folkhalsomyndigheten.se/Folkhalsodata/pxweb/en/,,,en
GRANDE_REGION,Portail statistique de la Grande Région,,PX_PXWEB,PUBLIC,https://www.grande-region.lu/pxweb/api/_VERSION_/_LANG_,"sdmxdl.driver.versions=v1,sdmxdl.driver.languages=""fr,de""",,,,en
GREENLAND,Statbank Greenland,,PX_PXWEB,PUBLIC,https://bank.stat.gl/api/_VERSION_/_LANG_,"sdmxdl.driver.versions=v1,sdmxdl.driver.languages=""en,kl,da""",https://bank.stat.gl/pxweb/en/,,,en
HAGSTOVAN,Statistics Faroe Islands,,PX_PXWEB,PUBLIC,https://statbank.hagstova.fo:443/api/_VERSION_/_LANG_,"sdmxdl.driver.versions=v1,sdmxdl.driver.languages=""en,fo""",https://statbank.hagstova.fo/pxweb/en/H2/,,,en
ILO,International Labour Organization,,RI_SDMX21,PUBLIC,https://sdmx.ilo.org/rest/,sdmxdl.driver.detailSupported=true,https://data.ilo.org/,upptime:/nbbrd/sdmx-upptime/ILO,https://nbbrd.github.io/sdmx-upptime/history/ilo,"en,es,fr"
